channel,color,modem_fs,algorithm,ber_0dB,decode_ms_0dB,ber_5dB,decode_ms_5dB,ber_10dB,decode_ms_10dB,ber_15dB,decode_ms_15dB,ber_20dB,decode_ms_20dB,ber_25dB,decode_ms_25dB,ber_30dB,decode_ms_30dB
blue3,blue,9765.625,Partial FFT+FEC,0.417647058824,3.772355,0.423529411765,3.072149,0.417647058824,3.541070,0.282352941176,2.996807,0.311764705882,2.936613,0.288235294118,3.022002,0.276470588235,4.083368
blue3,blue,9765.625,JUNA-Lite,0.417647058824,8.579960,0.423529411765,9.361876,0.364705882353,13.305727,0.258823529412,12.394829,0.247058823529,12.372613,0.288235294118,9.263313,0.276470588235,9.884207
blue3,blue,9765.625,JUNA-Wz,0.435294117647,80.056519,0.505882352941,70.038346,0.423529411765,71.036008,0.305882352941,69.501551,0.329411764706,69.586264,0.311764705882,74.188248,0.282352941176,74.651281
blue3,blue,9765.625,JUNA-WCz,0.435294117647,20.857693,0.494117647059,14.039055,0.423529411765,13.477641,0.305882352941,13.043967,0.335294117647,13.976871,0.317647058824,13.437577,0.276470588235,14.833477
yellow1,yellow,12500,Standard OFDM,0.247058823529,2.988381,0.229411764706,3.408569,0.147058823529,3.105066,0.111764705882,3.030837,0.164705882353,3.524195,0.164705882353,3.363037,0.164705882353,3.008409
yellow1,yellow,12500,Partial FFT+FEC,0.229411764706,3.000558,0.223529411765,4.185980,0.205882352941,3.137345,0.223529411765,2.968674,0.223529411765,3.779543,0.211764705882,4.084653,0.217647058824,3.137505
yellow1,yellow,12500,JUNA-Lite,0.229411764706,9.096712,0.241176470588,12.573160,0.2,12.253675,0.223529411765,10.241285,0.176470588235,12.490538,0.194117647059,14.166973,0.217647058824,10.130865
yellow1,yellow,12500,JUNA-Wz,0.247058823529,70.033479,0.258823529412,78.233031,0.252941176471,75.013673,0.229411764706,69.214408,0.229411764706,87.238496,0.241176470588,108.625591,0.205882352941,73.920271
yellow1,yellow,12500,JUNA-WCz,0.252941176471,14.521867,0.258823529412,14.982841,0.252941176471,16.551307,0.229411764706,16.553831,0.229411764706,15.690616,0.241176470588,24.786844,0.205882352941,13.289763
yellow2,yellow,12500,Standard OFDM,0.329411764706,3.246267,0.252941176471,3.225302,0.247058823529,4.989400,0.217647058824,3.397902,0.217647058824,2.989060,0.2,4.548239,0.170588235294,3.195008
yellow2,yellow,12500,Partial FFT+FEC,0.394117647059,3.524257,0.288235294118,3.287874,0.211764705882,4.955936,0.247058823529,3.157557,0.223529411765,3.245693,0.235294117647,3.233430,0.241176470588,3.683760
yellow2,yellow,12500,JUNA-Lite,0.394117647059,9.310356,0.288235294118,8.608158,0.223529411765,14.529877,0.247058823529,12.574811,0.223529411765,9.211029,0.235294117647,9.019054,0.241176470588,8.912552
yellow2,yellow,12500,JUNA-Wz,0.4,73.116530,0.317647058824,76.239705,0.252941176471,71.260343,0.270588235294,71.298420,0.258823529412,69.489468,0.247058823529,70.039804,0.235294117647,70.163362
yellow2,yellow,12500,JUNA-WCz,0.4,13.208114,0.323529411765,14.479655,0.247058823529,13.759851,0.264705882353,13.924027,0.252941176471,17.386030,0.247058823529,13.942090,0.229411764706,14.136761
yellow3,yellow,12500,Standard OFDM,0.305882352941,3.111432,0.270588235294,3.395080,0.247058823529,3.030246,0.252941176471,4.879544,0.223529411765,3.197264,0.247058823529,3.742009,0.288235294118,3.211147
yellow3,yellow,12500,Partial FFT+FEC,0.429411764706,3.664377,0.405882352941,3.673610,0.382352941176,3.021376,0.352941176471,3.382336,0.341176470588,3.833531,0.311764705882,3.293985,0.335294117647,3.023228
yellow3,yellow,12500,JUNA-Lite,0.423529411765,11.816998,0.405882352941,8.666369,0.405882352941,13.550675,0.323529411765,13.234844,0.341176470588,8.865213,0.311764705882,11.446852,0.335294117647,12.486334
