channel,color,algorithm,profile,receiver,modem_fs,capture_fs,packets,successful_packets,psr,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,total_decode_seconds,snr_db,seed,status
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,45,0.264705882353,0,0.003319412,0.003319412,5,20260715,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,45,0.264705882353,0,0.00877414,0.00877414,5,20260715,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,49,0.288235294118,0,0.077462577,0.077462577,5,20260715,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,49,0.288235294118,0,0.013185458,0.013185458,5,20260715,ok
red2,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,33,0.194117647059,0,0.005032422,0.005032422,10,20260715,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,45,0.264705882353,0,0.00531994,0.00531994,10,20260715,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,37,0.217647058824,0,0.016222069,0.016222069,10,20260715,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,42,0.247058823529,0,0.07917497,0.07917497,10,20260715,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,43,0.252941176471,0,0.012655797,0.012655797,10,20260715,ok
red2,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,25,0.147058823529,0,0.003366742,0.003366742,15,20260715,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,29,0.170588235294,0,0.003054767,0.003054767,15,20260715,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,29,0.170588235294,0,0.008910315,0.008910315,15,20260715,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,38,0.223529411765,0,0.069829152,0.069829152,15,20260715,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,38,0.223529411765,0,0.013172692,0.013172692,15,20260715,ok
red2,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,16,0.0941176470588,0,0.003035437,0.003035437,20,20260715,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,28,0.164705882353,0,0.003046272,0.003046272,20,20260715,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,29,0.170588235294,0,0.012968951,0.012968951,20,20260715,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,31,0.182352941176,0,0.084440414,0.084440414,20,20260715,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,32,0.188235294118,0,0.020979919,0.020979919,20,20260715,ok
red2,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,18,0.105882352941,0,0.003341349,0.003341349,25,20260715,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,27,0.158823529412,0,0.003185817,0.003185817,25,20260715,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,27,0.158823529412,0,0.009575321,0.009575321,25,20260715,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,30,0.176470588235,0,0.073061167,0.073061167,25,20260715,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,31,0.182352941176,0,0.012954181,0.012954181,25,20260715,ok
red2,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,21,0.123529411765,0,0.003169279,0.003169279,30,20260715,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,24,0.141176470588,0,0.003488616,0.003488616,30,20260715,ok
red2,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,24,0.141176470588,0,0.008984569,0.008984569,30,20260715,ok
red2,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,34,0.2,0,0.072953264,0.072953264,30,20260715,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,35,0.205882352941,0,0.012607025,0.012607025,30,20260715,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,36,0.211764705882,0,0.00311409,0.00311409,0,20260715,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,53,0.311764705882,0,0.003219609,0.003219609,0,20260715,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,47,0.276470588235,0,0.012292172,0.012292172,0,20260715,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,58,0.341176470588,0,0.0693034,0.0693034,0,20260715,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,58,0.341176470588,0,0.012950926,0.012950926,0,20260715,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,25,0.147058823529,0,0.003984422,0.003984422,5,20260715,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,47,0.276470588235,0,0.003802113,0.003802113,5,20260715,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,33,0.194117647059,0,0.012778931,0.012778931,5,20260715,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,53,0.311764705882,0,0.070518801,0.070518801,5,20260715,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,56,0.329411764706,0,0.013019107,0.013019107,5,20260715,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,19,0.111764705882,0,0.003052194,0.003052194,10,20260715,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,41,0.241176470588,0,0.003151833,0.003151833,10,20260715,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,27,0.158823529412,0,0.012844697,0.012844697,10,20260715,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,43,0.252941176471,0,0.073927684,0.073927684,10,20260715,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,42,0.247058823529,0,0.013164576,0.013164576,10,20260715,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,18,0.105882352941,0,0.003038068,0.003038068,15,20260715,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,37,0.217647058824,0,0.002961352,0.002961352,15,20260715,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,37,0.217647058824,0,0.010487805,0.010487805,15,20260715,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,44,0.258823529412,0,0.073804679,0.073804679,15,20260715,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,43,0.252941176471,0,0.014167276,0.014167276,15,20260715,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,18,0.105882352941,0,0.003921638,0.003921638,20,20260715,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,41,0.241176470588,0,0.004285104,0.004285104,20,20260715,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,24,0.141176470588,0,0.017515668,0.017515668,20,20260715,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,46,0.270588235294,0,0.090383669,0.090383669,20,20260715,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,46,0.270588235294,0,0.021107599,0.021107599,20,20260715,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,10,0.0588235294118,0,0.00340236,0.00340236,25,20260715,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,39,0.229411764706,0,0.003060808,0.003060808,25,20260715,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,31,0.182352941176,0,0.012549673,0.012549673,25,20260715,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,47,0.276470588235,0,0.071667811,0.071667811,25,20260715,ok
