juna_core_commit,channel,snr_db,pilot_ratio,outer_pilot_spacing,inner_pilot_spacing,code_rate,nfft,cp,modem_fs,capture_fs,bandwidth_policy,requested_modem_bandwidth_hz,channel_bandwidth_hz,effective_bandwidth_hz,effective_bw,algorithm,blocks,successful_blocks,psr,payload_bits,bit_errors,ber,mean_decode_seconds_per_block,capture_duration_seconds,covered_duration_seconds,effective_data_rate_bps,seed,status
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,1735,1,0.000576368876081,166560,66053,0.396571805956,0.0476431040219,47.7916666667,47.7125,2.00871839582,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,1735,1,0.000576368876081,166560,66048,0.396541786744,0.00905199706571,47.7916666667,47.7125,2.00871839582,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,881,0,0,170914,20161,0.117959909662,0.00501319470261,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,881,0,0,170914,39415,0.230613056859,0.00506877958683,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,881,0,0,170914,31683,0.185373930749,0.018383222286,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,881,0,0,170914,43768,0.256082006155,0.115619811023,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,881,0,0,170914,43790,0.256210725862,0.0200799456686,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,444,0,0,173160,28196,0.162832062832,0.0114380836982,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,444,0,0,173160,28002,0.161711711712,0.0112508608108,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,444,0,0,173160,22246,0.128470778471,0.0447588035428,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,444,0,0,173160,33280,0.192192192192,0.272179762836,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.125,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,444,0,0,173160,33325,0.192452067452,0.0446841553108,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,1735,0,0,333120,56388,0.169272334294,0.00222064766052,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,1735,0,0,333120,127629,0.383132204611,0.00216388865821,47.7916666667,47.7125,0,1,ok
