channel,color,algorithm,profile,receiver,modem_fs,capture_fs,packets,successful_packets,psr,psr_ci95_low,psr_ci95_high,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,median_decode_seconds,p95_decode_seconds,total_decode_seconds,snr_db,seed,status
red1,red,Standard OFDM,standard,3,19200,19200,10,0,0,0,0.277532799863,1700,200,0.117647058824,0,0.0029998056,0.002995029,0.00307786225,0.029998056,30,1,ok
red1,red,Partial FFT+FEC,pfft,3,19200,19200,10,0,0,0,0.277532799863,1700,266,0.156470588235,0,0.0030770068,0.003016319,0.0033231546,0.030770068,30,1,ok
red1,red,JUNA-Lite,lite,3,19200,19200,10,0,0,0,0.277532799863,1700,247,0.145294117647,0,0.0113891564,0.011398513,0.0157670908,0.113891564,30,1,ok
red1,red,JUNA-Wz,full,3,19200,19200,10,0,0,0,0.277532799863,1700,330,0.194117647059,0,0.0708381675,0.067572096,0.0804705221,0.708381675,30,1,ok
red1,red,JUNA-WCz,coupled,3,19200,19200,10,0,0,0,0.277532799863,1700,329,0.193529411765,0,0.0125906268,0.012384313,0.01343170655,0.125906268,30,1,ok
red2,red,Standard OFDM,standard,3,19200,19200,10,0,0,0,0.277532799863,1700,468,0.275294117647,0,0.0031358257,0.0029558995,0.00397755065,0.031358257,0,1,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,10,0,0,0,0.277532799863,1700,538,0.316470588235,0,0.003147742,0.002968558,0.0040291111,0.03147742,0,1,ok
red2,red,JUNA-Lite,lite,3,19200,19200,10,0,0,0,0.277532799863,1700,530,0.311764705882,0,0.0102061538,0.0101520695,0.0119450414,0.102061538,0,1,ok
red2,red,JUNA-Wz,full,3,19200,19200,10,0,0,0,0.277532799863,1700,576,0.338823529412,0,0.0697223734,0.0650517365,0.0913669999,0.697223734,0,1,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,10,0,0,0,0.277532799863,1700,577,0.339411764706,0,0.0134587831,0.012144954,0.0189836709,0.134587831,0,1,ok
red2,red,Standard OFDM,standard,3,19200,19200,10,0,0,0,0.277532799863,1700,334,0.196470588235,0,0.0029530988,0.0029303615,0.00307227775,0.029530988,5,1,ok
red2,red,Partial FFT+FEC,pfft,3,19200,19200,10,0,0,0,0.277532799863,1700,438,0.257647058824,0,0.0029312801,0.002923339,0.0029954946,0.029312801,5,1,ok
red2,red,JUNA-Lite,lite,3,19200,19200,10,0,0,0,0.277532799863,1700,430,0.252941176471,0,0.049393745,0.008626044,0.23106801855,0.49393745,5,1,ok
red2,red,JUNA-Wz,full,3,19200,19200,10,0,0,0,0.277532799863,1700,485,0.285294117647,0,0.0677505841,0.065578658,0.07830288315,0.677505841,5,1,ok
red2,red,JUNA-WCz,coupled,3,19200,19200,10,0,0,0,0.277532799863,1700,484,0.284705882353,0,0.012604095,0.012424104,0.01368423625,0.12604095,5,1,ok
