juna_core_commit,channel,label,algorithm,profile,receiver,nfft,cp,outer_spacing,inner_spacing,fec_rate,check_degree,modem_fs,capture_fs,snr_db,seed,frames,frame_blocks,decoded_packets,accepted_packets,packet_psr,successful_frames,frame_psr,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds_per_frame,total_decode_seconds,effective_rate_bps,status
7c7541fa0681f7ae01508238cc7c24f383a4c709,red1,SG-1,Standard OFDM,standard,3,1024,16,5,10,0.5,10,9600,19200,20,51001,36,10,360,319,0.886111111111,31,0.861111111111,264708,1893,0.00715127612312,0,0.187659689167,6.75574881,4907.98326068,ok
7c7541fa0681f7ae01508238cc7c24f383a4c709,red1,SG-1,Partial FFT+FEC,pfft,3,1024,16,5,10,0.5,10,9600,19200,20,51001,36,10,360,338,0.938888888889,32,0.888888888889,264708,4,1.51109902232e-05,0,0.203942715667,7.341937764,5200.30828248,ok
7c7541fa0681f7ae01508238cc7c24f383a4c709,red1,SG-1,JUNA-Lite,lite,3,1024,16,5,10,0.5,10,9600,19200,20,51001,36,10,360,355,0.986111111111,35,0.972222222222,264708,1,3.7777475558e-06,0,0.204791734972,7.372502459,5461.86224935,ok
7c7541fa0681f7ae01508238cc7c24f383a4c709,red1,SG-1,JUNA-Wz,full,3,1024,16,5,10,0.5,10,9600,19200,20,51001,36,10,360,344,0.955555555556,33,0.916666666667,264708,3,1.13332426674e-05,0,0.387252466167,13.941088782,5292.62144725,ok
7c7541fa0681f7ae01508238cc7c24f383a4c709,red1,SG-1,JUNA-WCz,coupled,3,1024,16,5,10,0.5,10,9600,19200,20,51001,36,10,360,344,0.955555555556,33,0.916666666667,264708,3,1.13332426674e-05,0,0.327163923056,11.77790123,5292.62144725,ok
