channel,color,algorithm,profile,modem_profile,frame_packets,receiver,modem_fs,capture_fs,packets,successful_packets,psr,psr_ci95_low,psr_ci95_high,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,median_decode_seconds,p95_decode_seconds,total_decode_seconds,snr_db,seed,status
red1,red,Standard OFDM,standard,rpchan_winner,10,3,9600,19200,10,0,0,0,0.277532799863,7350,656,0.0892517006803,0,0.0074227063,0.0074227063,0.0074227063,0.074227063,20,1,ok
red1,red,Partial FFT+FEC,pfft,rpchan_winner,10,3,9600,19200,10,0,0,0,0.277532799863,7350,595,0.0809523809524,0,0.007252188,0.007252188,0.007252188,0.07252188,20,1,ok
red1,red,JUNA-Lite,lite,rpchan_winner,10,3,9600,19200,10,8,0.8,0.490162471537,0.943317848546,7350,96,0.0130612244898,0,0.0211654665,0.0211654665,0.0211654665,0.211654665,20,1,ok
red1,red,JUNA-Wz,full,rpchan_winner,10,3,9600,19200,10,2,0.2,0.0566821514544,0.509837528463,7350,592,0.0805442176871,0,0.1595046745,0.1595046745,0.1595046745,1.595046745,20,1,ok
red1,red,JUNA-WCz,coupled,rpchan_winner,10,3,9600,19200,10,1,0.1,0.0178762130951,0.404150026795,7350,659,0.0896598639456,0,0.0239634377,0.0239634377,0.0239634377,0.239634377,20,1,ok
